,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
336,337,03-12-2018,4,0,12,0,1,1,1,12.265847,15.5302,61.2917,6.4174811,706,2908,3614
519,520,04-06-2019,2,1,6,0,2,1,1,24.4975,28.91415,48.7083,19.083811,1071,5927,6998
128,129,09-05-2018,2,0,5,0,3,1,1,21.8325,26.2623,58.875,11.792,664,3698,4362
68,69,10-03-2018,1,0,3,0,6,0,3,15.952731,19.2834,0.0,17.545759,46,577,623
379,380,15-01-2019,1,1,1,0,2,1,1,6.833347,8.08125,41.9167,16.834286,284,2027,2311
530,531,15-06-2019,2,1,6,0,6,0,1,26.205847,29.9877,58.9583,11.833339,1563,6102,7665
684,685,16-11-2019,4,1,11,0,6,0,1,14.145,17.3602,52.4583,11.458675,484,5214,5698
532,533,17-06-2019,2,1,6,0,1,1,1,24.2925,28.59875,59.875,9.708568,2634,4344,6978
17,18,18-01-2018,1,0,1,0,4,1,2,8.883347,11.61665,86.1667,9.833925,9,674,683
76,77,18-03-2018,1,0,3,0,0,0,1,22.14,26.35045,52.5217,15.478139,884,2355,3239
441,442,18-03-2019,1,1,3,0,1,1,2,19.3725,23.2,81.0,8.501161,2207,3685,5892
443,444,20-03-2019,1,1,3,0,3,1,1,22.994153,26.92665,80.7917,8.125157,1051,5042,6093
385,386,21-01-2019,1,1,1,0,1,1,2,7.106653,8.74375,83.125,14.917014,67,1234,1301
233,234,22-08-2018,3,0,8,0,3,1,1,28.358347,31.9127,47.0,18.54225,833,3925,4758
629,630,22-09-2019,3,1,9,0,0,0,1,26.65,30.5244,64.6667,19.000061,2512,5883,8395
538,539,23-06-2019,3,1,6,0,0,0,1,29.998347,32.6396,53.4583,12.041307,2657,4801,7458
541,542,26-06-2019,3,1,6,0,3,1,1,25.864153,29.7352,37.3333,23.292014,1077,6365,7442
26,27,27-01-2018,1,0,1,0,6,0,1,7.995,10.985,68.75,7.627079,15,416,431
209,210,29-07-2018,3,0,7,0,0,0,1,34.371653,39.29835,54.25,11.667246,670,3176,3846
241,242,30-08-2018,3,0,8,0,4,1,1,26.205847,29.7352,54.8333,8.375536,775,4429,5204
